,District,District Latitude,District Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,Al Khalidiyah Ash Shamaliyah Dist.,26.413035744059407,50.14636082148513,Halwani Bros,26.410898208618164,50.14478302001953,Warehouse Store
1,Al Khalidiyah Ash Shamaliyah Dist.,26.413035744059407,50.14636082148513,ALSAGGAF TRADING CO.,26.41347563198517,50.15133898811123,Furniture / Home Store
2,An Nasriyah Dist.,26.424016825090902,50.12204671218182,Jawsq Festival Hall (قاعة الجوسق للإحتفالات),26.42215265181056,50.11814474784613,Event Space
3,An Nasriyah Dist.,26.424016825090902,50.12204671218182,Chocolate Design (شوكولاته ديزاين),26.42179564969968,50.12404266323616,Chocolate Shop
4,An Nasriyah Dist.,26.424016825090902,50.12204671218182,بوفية السعادة,26.424839298902505,50.11892234292873,Breakfast Spot
5,An Nasriyah Dist.,26.424016825090902,50.12204671218182,Al Mira Centre,26.42272232110836,50.12017371550875,Furniture / Home Store
6,An Nasriyah Dist.,26.424016825090902,50.12204671218182,حلويات جرير القباني patisserie jareer,26.422789079061374,50.12326190407551,Pastry Shop
7,An Nasriyah Dist.,26.424016825090902,50.12204671218182,Qatif Mall,26.423454,50.121995,Shopping Mall
8,An Nasriyah Dist.,26.424016825090902,50.12204671218182,مركز الميره للأثاث,26.422687833725625,50.12025907795775,Furniture / Home Store
9,An Nasriyah Dist.,26.424016825090902,50.12204671218182,AL-FADDA | الفدّا,26.421778424343174,50.12132360800092,Furniture / Home Store
10,An Nasriyah Dist.,26.424016825090902,50.12204671218182,Modern Furniture,26.421026,50.122418,Furniture / Home Store
11,An Nasriyah Dist.,26.424016825090902,50.12204671218182,اشاره الناصرية,26.427280284962027,50.120233971342635,Intersection
12,1St Industrial Dist.,26.39701435782051,50.14309465038462,نجم ابا حسين للسيراميك والادوات الصحية,26.39949112343783,50.14614105770821,Construction & Landscaping
13,1St Industrial Dist.,26.39701435782051,50.14309465038462,مكارم النخبة للأدوات الصحية والسيراميك,26.400629,50.145192,Furniture / Home Store
14,1St Industrial Dist.,26.39701435782051,50.14309465038462,Bayt Alebaa (بيت الإباء),26.40047,50.145233,Furniture / Home Store
15,1St Industrial Dist.,26.39701435782051,50.14309465038462,Derby Coffee,26.396566,50.147877,Coffee Shop
16,Al Fanar Dist.,26.40588090352941,50.19358098470589,Burger nook,26.403895090456245,50.195007288848835,Burger Joint
17,Al Fanar Dist.,26.40588090352941,50.19358098470589,حديقة الورود,26.40874904293313,50.19456487024662,Playground
18,Al Fanar Dist.,26.40588090352941,50.19358098470589,Zain زين فرع الراكة,26.408698666902716,50.19046762336064,IT Services
19,Al Athir Dist.,26.434276787415733,50.06036651483147,كامباوند البوذم للسهر والدشره,26.436008023972796,50.05900981352416,Hookah Bar
20,Al Athir Dist.,26.434276787415733,50.06036651483147,Diwanyat Al-Frdoos 11,26.435398270934467,50.05633749636281,Hookah Bar
21,Al Athir Dist.,26.434276787415733,50.06036651483147,رائد العصيرات,26.437073,50.057148,Juice Bar
22,Al Athir Dist.,26.434276787415733,50.06036651483147,Fawal Good Morning (فوال صباح الخير),26.43438,50.055486,Afghan Restaurant
23,Al Jalawiyah Dist.,26.43651751632076,50.07545844943395,معجنات قناطر دمشق,26.438200426278996,50.07836011707459,Bakery
24,Al Jalawiyah Dist.,26.43651751632076,50.07545844943395,معصوب زمان,26.437806872477264,50.078475800172704,Breakfast Spot
25,Al Jalawiyah Dist.,26.43651751632076,50.07545844943395,فلافل الرابية,26.437619,50.078694,Falafel Restaurant
26,Al Jalawiyah Dist.,26.43651751632076,50.07545844943395,Ce Juice,26.435997,50.079323,Smoothie Shop
27,Al Jalawiyah Dist.,26.43651751632076,50.07545844943395,فوال مراحب,26.438439,50.078331,Afghan Restaurant
28,Al Jalawiyah Dist.,26.43651751632076,50.07545844943395,Panda Dammam,26.438692650870596,50.07143855284536,Supermarket
29,Al Jalawiyah Dist.,26.43651751632076,50.07545844943395,فوال السنابل,26.435572729803475,50.079064804110835,Breakfast Spot
30,Al Jalawiyah Dist.,26.43651751632076,50.07545844943395,استادي الخاص,26.434247,50.07385,Soccer Stadium
