,District,District Latitude,District Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,At Tahliyah Dist.,26.17781863856502,50.19358769394619,ملعب اسكان تحليه المياه - الخبر,26.178656354117134,50.19311194993838,Soccer Field
1,At Tahliyah Dist.,26.17781863856502,50.19358769394619,حديقة التحليه,26.179251,50.195127,Garden
2,At Tahliyah Dist.,26.17781863856502,50.19358769394619,معجنات الناعورة,26.177396870387174,50.195791584266765,Breakfast Spot
3,At Tahliyah Dist.,26.17781863856502,50.19358769394619,اسكان تحلية المياة - الخبر,26.179223277045757,50.1958418599584,Harbor / Marina
4,Ibn Sina Dist.,26.241028340781252,50.201773003593736,Al-Seef Cafe & Restaurant (مقهى ومطعم السيف),26.245261476244004,50.20179984226936,Hookah Bar
5,Ibn Sina Dist.,26.241028340781252,50.201773003593736,DHL Express Head Office,26.24316972628057,50.197719567104365,Shipping Store
6,Ibn Sina Dist.,26.241028340781252,50.201773003593736,Vape Gulf,26.241584,50.198801,Vape Store
7,Ibn Sina Dist.,26.241028340781252,50.201773003593736,كيف الخليج للمعسلات,26.242377,50.19828,Smoke Shop
8,Ibn Sina Dist.,26.241028340781252,50.201773003593736,LIQUI MOLY,26.240345,50.197344,Auto Workshop
9,Ibn Sina Dist.,26.241028340781252,50.201773003593736,Auto Gard,26.244925,50.199422,Auto Workshop
10,Al Hizam Al Akhdar Dist.,26.305178597317074,50.20295822975609,Rural Café (رورال كافيه),26.303880298225174,50.20262209188115,Café
11,Al Hizam Al Akhdar Dist.,26.305178597317074,50.20295822975609,Al Hatab Bakery (افران الحطب),26.30462036735576,50.20466566085815,Bakery
12,Al Hizam Al Akhdar Dist.,26.305178597317074,50.20295822975609,Beano (بينو),26.303917,50.202309,Coffee Shop
13,Al Hizam Al Akhdar Dist.,26.305178597317074,50.20295822975609,Aani & Dani (آني و داني),26.303648842148014,50.20424528493102,Chocolate Shop
14,Al Hizam Al Akhdar Dist.,26.305178597317074,50.20295822975609,Shrimpail (شرمبيل),26.30370006490854,50.20384101866733,Seafood Restaurant
15,Al Hizam Al Akhdar Dist.,26.305178597317074,50.20295822975609,Mizo Eatery (ميزو),26.303692122519006,50.20366823157307,Italian Restaurant
16,Al Hizam Al Akhdar Dist.,26.305178597317074,50.20295822975609,Caribou Coffee,26.303826,50.20285,Coffee Shop
17,Al Hizam Al Akhdar Dist.,26.305178597317074,50.20295822975609,I Muscle اي عضل,26.303346,50.201791,Organic Grocery
18,Al Hizam Al Akhdar Dist.,26.305178597317074,50.20295822975609,JOLT (جولت),26.303903001795522,50.202211967506585,Coffee Shop
19,Al Hizam Al Akhdar Dist.,26.305178597317074,50.20295822975609,&SALAD (اند سالد),26.30311479640488,50.201567990464575,Salad Place
20,Al Hizam Al Akhdar Dist.,26.305178597317074,50.20295822975609,Tips & Toes Salon (تيبس آند توز),26.3035138869264,50.204981068461414,Salon / Barbershop
21,Al Hizam Al Akhdar Dist.,26.305178597317074,50.20295822975609,Savor Bakery (سيڤر بيكري),26.304064936242757,50.200423922403374,Bakery
22,Al Hizam Al Akhdar Dist.,26.305178597317074,50.20295822975609,Smoothie Factory (سموثي فاكتوري),26.303471715828962,50.20504289447288,Smoothie Shop
23,Al Hizam Al Akhdar Dist.,26.305178597317074,50.20295822975609,The Sanctuary Salon,26.303763765948865,50.20292735944574,Spa
24,Al Hizam Al Akhdar Dist.,26.305178597317074,50.20295822975609,Masami Sushi (مسامي سوشي),26.302831,50.201681,Sushi Restaurant
25,Al Hizam Al Akhdar Dist.,26.305178597317074,50.20295822975609,Yummy Yogurt (يمي يوغرت),26.304082425895196,50.20042161085402,Frozen Yogurt Shop
26,Al Hizam Al Akhdar Dist.,26.305178597317074,50.20295822975609,Cottage,26.30333842675392,50.2016595846533,Flower Shop
27,Al Hizam Al Akhdar Dist.,26.305178597317074,50.20295822975609,Subway (صب واي),26.30409342390749,50.20025845680613,Sandwich Place
28,Al Hizam Al Akhdar Dist.,26.305178597317074,50.20295822975609,Freshii (فريشي),26.303473736159656,50.2050972866582,Salad Place
29,Al Hizam Al Akhdar Dist.,26.305178597317074,50.20295822975609,Crepe Roll,26.30371,50.20333,Creperie
30,Al Hizam Al Akhdar Dist.,26.305178597317074,50.20295822975609,Signature (سيجنتشر),26.304173903160972,50.199954552023776,Juice Bar
31,Al Hizam Al Akhdar Dist.,26.305178597317074,50.20295822975609,Tackle Baks,26.303569705994295,50.205379128456116,Seafood Restaurant
32,Al Hizam Al Akhdar Dist.,26.305178597317074,50.20295822975609,La Pâte (لا بات),26.3034085975605,50.20550438472838,French Restaurant
33,Al Hizam Al Akhdar Dist.,26.305178597317074,50.20295822975609,Starbucks (ستاربكس),26.3045205,50.1992484,Coffee Shop
34,Al Hizam Al Akhdar Dist.,26.305178597317074,50.20295822975609,Kebab Creation (كباب كريشن),26.303389,50.205256,Kebab Restaurant
35,Al Hizam Al Akhdar Dist.,26.305178597317074,50.20295822975609,Johnny Rockets (جوني روكتس),26.30331869990978,50.20570789602921,Burger Joint
36,Al Hizam Al Akhdar Dist.,26.305178597317074,50.20295822975609,Kanafany (الكنفاني),26.303725151475124,50.20236092719199,Dessert Shop
37,Al Hizam Al Akhdar Dist.,26.305178597317074,50.20295822975609,Bath & Body Works,26.30444644958802,50.198677398804435,Cosmetics Shop
38,Al Hizam Al Akhdar Dist.,26.305178597317074,50.20295822975609,Strawberry Corner,26.301809021332623,50.201309705652974,Juice Bar
39,Al Hizam Al Akhdar Dist.,26.305178597317074,50.20295822975609,La Casa Cubana (البيت الكوبي),26.30365712799362,50.20406843604844,Smoke Shop
40,Al Hizam Al Akhdar Dist.,26.305178597317074,50.20295822975609,Burgerizzer (برغرايززر),26.30348035207389,50.20515561077373,Burger Joint
41,Al Hizam Al Akhdar Dist.,26.305178597317074,50.20295822975609,Espresso Lab (إسبرسو لاب),26.303276956592082,50.20632171237742,Coffee Shop
42,Al Hizam Al Akhdar Dist.,26.305178597317074,50.20295822975609,Karmello (كارميللو),26.303282,50.206317,Café
43,Al Hizam Al Akhdar Dist.,26.305178597317074,50.20295822975609,Abazeer Organic (ابازير عضوي),26.30371362311156,50.20373421340475,Health Food Store
44,Al Hizam Al Akhdar Dist.,26.305178597317074,50.20295822975609,Dunkin' Donuts (دانكن دونتس),26.30461,50.198464,Donut Shop
45,Al Hizam Al Akhdar Dist.,26.305178597317074,50.20295822975609,OffSide,26.303778,50.200317,Juice Bar
46,Al Hizam Al Akhdar Dist.,26.305178597317074,50.20295822975609,Theory,26.304245,50.198068,Coffee Shop
47,Al Hizam Al Akhdar Dist.,26.305178597317074,50.20295822975609,Ousha (أوشه),26.303529060567733,50.20488355035537,Shawarma Place
48,Al Hizam Al Akhdar Dist.,26.305178597317074,50.20295822975609,Jasmi’s (جسميز),26.30349852158129,50.20546782097701,Fast Food Restaurant
